hero,opponent,games,wins,losses,win_rate,source
Benedetta,Arlott,3,3,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Benedetta,Julian,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Benedetta,Jawhead,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Benedetta,Moskov,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Benedetta,Harith,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Clint,Moskov,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Clint,Ruby,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Clint,Nolan,3,0,3,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Clint,Fanny,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Clint,Faramis,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lylia,Yve,4,3,1,0.75,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lylia,Alpha,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lylia,Zhask,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lylia,Julian,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lylia,Moskov,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Thamuz,Edith,5,4,1,0.8,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Thamuz,Khaleed,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Thamuz,Hayabusa,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Thamuz,Vexana,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Thamuz,Claude,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Carmilla,Julian,5,4,1,0.8,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Carmilla,Phoveus,4,4,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Carmilla,Hylos,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Carmilla,Moskov,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Carmilla,Vexana,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Irithel,Chou,4,3,1,0.75,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Irithel,Natan,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Irithel,Yve,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Irithel,Alpha,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Irithel,Beatrix,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Chip,Bane,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Chip,Gatotkaca,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Chip,Phoveus,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Chip,Yve,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Chip,Luo Yi,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Gloo,Roger,4,1,3,0.25,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Gloo,Hylos,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Gloo,Terizla,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Gloo,Valentina,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Gloo,Aurora,3,0,3,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hilda,Natan,3,3,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hilda,Khaleed,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hilda,Zhuxin,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hilda,Yve,2,2,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hilda,Beatrix,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Brody,Angela,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Brody,Grock,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Brody,Moskov,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Brody,Ling,2,0,2,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Brody,Phoveus,2,0,2,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yu Zhong,Phoveus,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yu Zhong,Alpha,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yu Zhong,Moskov,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yu Zhong,Yve,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yu Zhong,Aurora,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ixia,Chou,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ixia,Alpha,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ixia,Arlott,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ixia,Karrie,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ixia,Natan,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Rafaela,Mathilda,3,1,2,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Rafaela,Zhuxin,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Rafaela,Bane,2,0,2,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Rafaela,Khaleed,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Rafaela,Natan,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Fredrinn,Aurora,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Fredrinn,Gatotkaca,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Fredrinn,Grock,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Fredrinn,Harith,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Fredrinn,Julian,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Guinevere,Julian,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Guinevere,Moskov,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Guinevere,Valentina,2,1,1,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Guinevere,Arlott,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Guinevere,X.Borg,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Helcurt,Edith,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Helcurt,Hylos,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Helcurt,Karrie,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Helcurt,Lancelot,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Helcurt,Valentina,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hanabi,Aurora,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hanabi,Beatrix,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hanabi,Edith,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hanabi,Franco,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hanabi,Julian,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Melissa,Faramis,2,0,2,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Melissa,Roger,2,0,2,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Melissa,Claude,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Melissa,Khufra,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Melissa,Mathilda,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Novaria,Hylos,2,0,2,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Novaria,Arlott,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Novaria,Julian,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Novaria,Moskov,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Novaria,Paquito,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Atlas,Edith,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Atlas,Julian,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Atlas,Kaja,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Atlas,Roger,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Atlas,Zhask,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cecilion,Angela,1,1,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
