,file,player,ss_type,opening_failure,battle_id,match_result,match_duration,left_team_kills,right_team_kills,left_heroes,right_heroes,left_medals,right_medals,left_scores,right_scores
4778,vee_leqla/Screenshot_20230427-230917.jpg,vee_leqla,Result,False,270058049082292130,Victory,11.0,34,18,"['Diggie', 'Irithel', 'Ruby', 'Jawhead', 'Pharsa']","['Melissa', 'Alucard', 'Edith', 'Cecilion', 'Zilong']","['Gold', 'MVP Win', 'Silver', 'Gold', 'Silver']","['MVP Lose', 'Bronze', 'Silver', 'Silver', 'Silver']","[8.4, 10.1, 6.7, 9.7, 7.3]","[7.0, 3.5, 5.7, 4.5, 5.0]"
4779,vee_leqla/Screenshot_20230427-230926.jpg,vee_leqla,Result,False,269569951818904416,Victory,12.1,24,7,"['Nana', 'Khufra', 'Arlott', 'Moskov', 'Freya']","['Franco', 'Helcurt', 'Aldous', 'Kimmy', 'Terizla']","['Gold', 'Gold', 'Silver', 'Silver', 'MVP Win']","['Bronze', 'Bronze', 'Bronze', 'Bronze', 'MVP Lose']","[8.1, 8.4, 7.1, 6.9, 11.9]","[3.1, 3.4, 3.7, 3.0, 6.8]"
4780,vee_leqla/Screenshot_20230427-230935.jpg,vee_leqla,Result,False,268826419965521169,Defeat,20.683333333333334,19,28,"['Layla', 'Valir', 'Chou', 'Franco', 'Harley']","['Melissa', 'Estes', 'Vexana', 'Fredrinn', 'Hayabusa']","['Gold', 'MVP Lose', 'Silver', 'Bronze', 'Silver']","['Gold', 'Gold', 'MVP Win', 'Silver', 'Gold']","[7.1, 8.1, 5.9, 5.3, 5.7]","[9.6, 8.9, 10.0, 4.9, 8.4]"
4781,vee_leqla/Screenshot_20230427-230944.jpg,vee_leqla,Result,False,586923474707600480,Victory,23.433333333333334,34,30,"['Irithel', 'Valentina', 'Edith', 'Chou', 'Gusion']","['Masha', 'Terizla', 'Eudora', 'Helcurt', 'Layla']","['Gold', 'Silver', 'MVP Win', 'Gold', 'Silver']","['MVP Lose', 'Bronze', 'Gold', 'Silver', 'Silver']","[8.2, 7.1, 9.2, 8.8, 7.5]","[9.8, 3.2, 7.8, 7.5, 7.0]"
4782,vee_leqla/Screenshot_20230427-230953.jpg,vee_leqla,Result,False,586417106653335501,Victory,13.783333333333333,25,9,"['Irithel', 'Aamon', 'Cecilion', 'Lolita', 'Dyrroth']","['Vexana', 'Hanabi', 'Sun', 'Martis', 'Rafaela']","['MVP Win', 'Gold', 'Gold', 'Gold', 'Gold']","['Bronze', 'Silver', 'Bronze', 'Silver', 'Bronze']","[11.4, 7.1, 9.5, 7.4, 7.5]","[4.5, 5.4, 3.6, 5.4, 3.8]"
4783,vee_leqla/Screenshot_20230427-231013.jpg,vee_leqla,Result,False,585943556444179337,Victory,12.183333333333334,29,10,"['Estes', 'Cyclops', 'Harley', 'Dyrroth', 'Irithel']","['Kadita', 'Luo Yi', 'Edith', 'Clint', 'Fredrinn']","['Gold', 'Gold', 'Silver', 'Bronze', 'MVP Win']","['Silver', 'Bronze', 'Bronze', 'Bronze', 'Silver']","[9.6, 10.1, 7.7, 4.4, 11.2]","[5.8, 4.4, 3.2, 3.0, 6.0]"
4784,vee_leqla/Screenshot_20230427-231022.jpg,vee_leqla,Result,False,261711480222169349,Defeat,21.9,28,50,"['Johnson', 'Alucard', 'Martis', 'Irithel', 'Cecilion']","['Arlott', 'Minsitthar', 'Gusion', 'Valentina', 'Lesley']","['Bronze', 'Gold', 'Silver', 'Silver', 'MVP Lose']","['Silver', 'Gold', 'Gold', 'Gold', 'MVP Win']","[5.4, 7.4, 7.0, 5.8, 7.8]","[7.9, 9.8, 12.0, 11.1, 13.7]"
4785,vee_leqla/Screenshot_20230427-231031.jpg,vee_leqla,Result,False,638907903432449974,Victory,20.716666666666665,45,36,"['Pharsa', 'Belerick', 'Martis', 'Paquito', 'Irithel']","['Melissa', 'Johnson', 'X.Borg', 'Kimmy', 'Zhask']","['Silver', 'Gold', 'MVP Win', 'Gold', 'Gold']","['Silver', 'Bronze', 'Silver', 'MVP Lose', 'Gold']","[5.9, 7.3, 10.1, 7.3, 9.3]","[6.9, 4.8, 5.9, 8.1, 7.3]"
4786,vee_leqla/Screenshot_20230427-231040.jpg,vee_leqla,Result,False,638102841877584499,Defeat,15.716666666666667,10,34,"['Martis', 'Valir', 'Layla', 'Kimmy', 'Kaja']","['Lesley', 'Selena', 'Yi Sun-shin', 'Aldous', 'Kadita']","['Bronze', 'Bronze', 'Bronze', 'Silver', 'Bronze']","['MVP Win', 'Silver', 'Gold', 'Silver', 'Gold']","[4.0, 3.5, 3.7, 5.3, 4.3]","[13.9, 7.8, 9.5, 6.6, 8.4]"
4787,vee_leqla/Screenshot_20230427-231048.jpg,vee_leqla,Result,False,222703900045042693,Victory,18.9,37,26,"['Martis', 'Sun', 'Franco', 'Irithel', 'Pharsa']","['Cyclops', 'Hayabusa', 'Paquito', 'Chou', 'Hanabi']","['MVP Win', 'Gold', 'Gold', 'Gold', 'Gold']","['Gold', 'Silver', 'Silver', 'Bronze', 'MVP Lose']","[10.3, 7.3, 7.3, 8.2, 7.8]","[6.9, 5.7, 6.2, 5.5, 9.9]"
